accuracy,auc,precision,recall,f1,dp,optimal_threshold,accuracy_optimal,precision_optimal,recall_optimal,f1_optimal,dp_optimal,dpe,abpc,abcc,lambda
0.7161546085232904,0.748686563181976,0.7422274695001968,0.46056166056166054,0.568414707655214,0.06738286144528247,0.3,0.5673934588701685,0.4832005973120956,0.9482295482295482,0.6401780562196027,0.06738286144528247,0.082131416,0.5277861815253702,0.08256357396322503,0.0
0.7157581764122894,0.7483585323952295,0.7439363817097415,0.4568986568986569,0.5661119515885022,0.06616481703982294,0.25,0.5630327056491575,0.48091417456844154,0.9660561660561661,0.6421556691826962,0.06616481703982294,0.07720566,0.5073369447312511,0.07744267811132664,0.05
0.7135777998017839,0.7471509733895054,0.7348927875243665,0.4603174603174603,0.566066066066066,0.057351118381492455,0.26,0.5604558969276512,0.4794139016711068,0.9667887667887668,0.6409779001052376,0.057351118381492455,0.073801875,0.447893536768405,0.07437519889334152,0.1
0.7144697720515362,0.7442845635506186,0.7424121405750799,0.45396825396825397,0.5634186998030004,0.06650640775265515,0.28,0.568384539147671,0.48360655737704916,0.9365079365079365,0.6378378378378379,0.06650640775265515,0.06881863,0.4445344636962268,0.06969293339802618,0.15
0.7153617443012884,0.7445154845154845,0.7435284747112704,0.4559218559218559,0.5652437178322737,0.06762658698133173,0.23,0.5594648166501487,0.4786949111273436,0.9601953601953602,0.6388821187748802,0.06762658698133173,0.064147025,0.3659228389547364,0.06571155678857935,0.2
0.7140733399405352,0.7473675356244164,0.7374411302982732,0.45885225885225883,0.5657082643384014,0.05841405335606106,0.25,0.5642220019821605,0.4813118811881188,0.9496947496947497,0.6388501026694046,0.05841405335606106,0.057091117,0.3042251752328145,0.05836253325819734,0.25
0.7166501486620416,0.7544536605087064,0.7475961538461539,0.45567765567765567,0.5662266727355485,0.07237256893672633,0.24,0.5634291377601586,0.4811710398445092,0.9672771672771673,0.6426543360103837,0.07237256893672633,0.055767655,0.24834036436226645,0.05690137700813124,0.3
0.7172447968285431,0.749973553459792,0.7506053268765133,0.4542124542124542,0.5659516202647193,0.06108461863140485,0.24,0.5625371655104063,0.48062674602210614,0.9663003663003663,0.6419532770927969,0.06108461863140485,0.04798773,0.23398182934570982,0.04944617426233401,0.35
0.7174430128840437,0.7244334259013158,0.753257328990228,0.4517704517704518,0.564799267287437,0.06008630217075292,0.18,0.49633300297324084,0.44565576478361413,0.9882783882783883,0.6142987249544627,0.06008630217075292,0.031112581,0.12779760120341338,0.03315048440131638,0.4
0.714767096134787,0.7359791279057334,0.7293629852996608,0.4725274725274725,0.5735032602252519,0.06891112471252364,0.0,0.40584737363726464,0.40584737363726464,1.0,0.5773704617553754,0.06891112471252364,0.030560464,0.13782290527683108,0.030576433661581692,0.45
0.7122893954410308,0.7309045287026938,0.7366957903097696,0.452991452991453,0.5610161802510207,0.05529478311947775,0.3,0.40614469772051537,0.4059307745710602,0.9995115995115995,0.577373395401326,0.05529478311947775,0.02474612,0.11068983587022048,0.024749419717389927,0.5
