accuracy,auc,precision,recall,f1,dp,optimal_threshold,accuracy_optimal,precision_optimal,recall_optimal,f1_optimal,dp_optimal,dpe,abpc,abcc,lambda
0.6919660481642321,0.6513421854782031,0.45454545454545453,0.012849341471249599,0.02499218994064355,0.0009405192495485631,0.24,0.5548756415317805,0.39285166436570024,0.8226790876967556,0.5317691029900332,0.0009405192495485631,0.010353118,0.16827490750822854,0.010753784507207863,0.0
0.6933478089222266,0.6510301280810605,0.875,0.0022486347574686796,0.004485741749439282,0.0011981722690221732,0.28,0.5645479668377418,0.3984045049272642,0.8181818181818182,0.5358720807910793,0.0011981722690221732,0.0039682686,0.09864370895478754,0.005003463862687539,0.05
0.6920647453612317,0.6535655572477386,0.47368421052631576,0.020237712817218118,0.038817005545286505,0.004707194411127243,0.27,0.559020923805764,0.39523735889902584,0.8210729200128494,0.5336116910229645,0.004707194411127243,0.0019137263,0.04217627602480146,0.0032552635251850382,0.1
0.692755625740229,0.6561517641048364,0.0,0.0,0.0,0.0,0.32,0.5657323332017371,0.39854958221661674,0.8120783809829746,0.5346869712351946,0.0,0.00029203296,0.03709786957037278,0.002803972465258819,0.15
0.692755625740229,0.6533047580869822,0.0,0.0,0.0,0.0,0.25,0.5631662060797473,0.39766173031956353,0.8194667523289432,0.5354743912678421,0.0,0.00024056435,0.03770891287550962,0.0021112812298515037,0.2
0.692755625740229,0.6543752085512285,0.0,0.0,0.0,0.0,0.21,0.5633636004737466,0.39775386055217593,0.8191455187921619,0.5354892902141957,0.0,0.0016693473,0.017690046478448303,0.0018241786972541356,0.25
0.692755625740229,0.6543394879677469,0.0,0.0,0.0,0.0,0.18,0.5633636004737466,0.39775386055217593,0.8191455187921619,0.5354892902141957,0.0,0.001775831,0.013859177575201494,0.0017874266717401177,0.3
0.692755625740229,0.647887037098652,0.0,0.0,0.0,0.0,0.17,0.5633636004737466,0.39775386055217593,0.8191455187921619,0.5354892902141957,0.0,0.002009064,0.014918046572220105,0.002060594775740502,0.35
0.692755625740229,0.6434061519128452,0.0,0.0,0.0,0.0,0.16,0.5633636004737466,0.39775386055217593,0.8191455187921619,0.5354892902141957,0.0,0.0019401014,0.013920940674377588,0.0019415240425705053,0.4
0.692755625740229,0.6442525764243142,0.0,0.0,0.0,0.0,0.17,0.5633636004737466,0.39775386055217593,0.8191455187921619,0.5354892902141957,0.0,0.0020041764,0.014244816191012715,0.0020102660087810485,0.45
0.692755625740229,0.6445042223285729,0.0,0.0,0.0,0.0,0.17,0.5633636004737466,0.39775386055217593,0.8191455187921619,0.5354892902141957,0.0,0.0019503534,0.014188354146841343,0.0019685252019120297,0.5
