num_layers,bidirectional,lstm_size,batch_size,learning_rate,dropout,auc_score
1,False,16,128,0.0001,0.2,0.7555078365580226
1,False,16,128,0.0001,0.4,0.7557589278013906
1,False,16,128,0.001,0.2,0.758433323812645
1,False,16,128,0.001,0.4,0.7590065309723378
1,False,16,256,0.0001,0.2,0.754391893091633
1,False,16,256,0.0001,0.4,0.7542364949120968
1,False,16,256,0.001,0.2,0.7601969869304457
1,False,16,256,0.001,0.4,0.757722347811882
1,False,16,512,0.0001,0.2,0.7554680120092575
1,False,16,512,0.0001,0.4,0.7543534636703725
1,False,16,512,0.001,0.2,0.7581958984773324
1,False,16,512,0.001,0.4,0.7566330703052946
1,False,32,128,0.0001,0.2,0.755900628365428
1,False,32,128,0.0001,0.4,0.7553019918362212
1,False,32,128,0.001,0.2,0.7595705112660351
1,False,32,128,0.001,0.4,0.7583506942154462
1,False,32,256,0.0001,0.2,0.7550395176207141
1,False,32,256,0.0001,0.4,0.7558795746230873
1,False,32,256,0.001,0.2,0.7591208045979345
1,False,32,256,0.001,0.4,0.7590163919871993
1,False,32,512,0.0001,0.2,0.753535792122958
1,False,32,512,0.0001,0.4,0.7553826555719364
1,False,32,512,0.001,0.2,0.7606817303233753
1,False,32,512,0.001,0.4,0.7594886109400317
1,False,64,128,0.0001,0.2,0.7578137603708706
1,False,64,128,0.0001,0.4,0.7556536590896868
1,False,64,128,0.001,0.2,0.7551933621355292
1,False,64,128,0.001,0.4,0.7601523745577445
1,False,64,256,0.0001,0.2,0.7548288216600902
1,False,64,256,0.0001,0.4,0.7541718117277969
1,False,64,256,0.001,0.2,0.7600310935871822
1,False,64,256,0.001,0.4,0.7593384761960809
1,False,64,512,0.0001,0.2,0.7551548058844955
1,False,64,512,0.0001,0.4,0.7538522958218213
1,False,64,512,0.001,0.2,0.758452062911626
1,False,64,512,0.001,0.4,0.7602775238363875
1,True,16,128,0.0001,0.2,0.7551648888514599
1,True,16,128,0.0001,0.4,0.7549446806578508
1,True,16,128,0.001,0.2,0.7621154140789166
1,True,16,128,0.001,0.4,0.7599562006061449
1,True,16,256,0.0001,0.2,0.7549585051031227
1,True,16,256,0.0001,0.4,0.7530978489163156
1,True,16,256,0.001,0.2,0.759085958117765
1,True,16,256,0.001,0.4,0.7571540870133414
1,True,16,512,0.0001,0.2,0.7520607935688173
1,True,16,512,0.0001,0.4,0.7526435129614956
1,True,16,512,0.001,0.2,0.7560007604713197
1,True,16,512,0.001,0.4,0.7573606610063385
1,True,32,128,0.0001,0.2,0.7556228394548146
1,True,32,128,0.0001,0.4,0.7568932932923285
1,True,32,128,0.001,0.2,0.761094624649823
1,True,32,128,0.001,0.4,0.7587859739968525
1,True,32,256,0.0001,0.2,0.7531042855273024
1,True,32,256,0.0001,0.4,0.7546053158923794
1,True,32,256,0.001,0.2,0.758632763630903
1,True,32,256,0.001,0.4,0.7607551013471351
1,True,32,512,0.0001,0.2,0.7552111183037684
1,True,32,512,0.0001,0.4,0.753552882434888
1,True,32,512,0.001,0.2,0.7579243876404892
1,True,32,512,0.001,0.4,0.7573856147642032
1,True,64,128,0.0001,0.2,0.7572618289056214
1,True,64,128,0.0001,0.4,0.7543175708445747
1,True,64,128,0.001,0.2,0.7623042636111175
1,True,64,128,0.001,0.4,0.7599476713039013
1,True,64,256,0.0001,0.2,0.7555345976401545
1,True,64,256,0.0001,0.4,0.7549303171860431
1,True,64,256,0.001,0.2,0.7577115038662787
1,True,64,256,0.001,0.4,0.7603920828289736
1,True,64,512,0.0001,0.2,0.7552208207814135
1,True,64,512,0.0001,0.4,0.7547418798506047
1,True,64,512,0.001,0.2,0.7578270774970499
1,True,64,512,0.001,0.4,0.7584650946708158
2,False,16,128,0.0001,0.2,0.7558033499294319
2,False,16,128,0.0001,0.4,0.7568225222789179
2,False,16,128,0.001,0.2,0.7605347346163095
2,False,16,128,0.001,0.4,0.7590399506175595
2,False,16,256,0.0001,0.2,0.7562890128382169
2,False,16,256,0.0001,0.4,0.753883591068343
2,False,16,256,0.001,0.2,0.7587689153923656
2,False,16,256,0.001,0.4,0.7582701890169474
2,False,16,512,0.0001,0.2,0.7558903234463605
2,False,16,512,0.0001,0.4,0.7541156578457405
2,False,16,512,0.001,0.2,0.7578966119201722
2,False,16,512,0.001,0.4,0.7598601270529934
2,False,32,128,0.0001,0.2,0.7576056327131526
2,False,32,128,0.0001,0.4,0.7545643181682127
2,False,32,128,0.001,0.2,0.758034571005902
2,False,32,128,0.001,0.4,0.7605913641100152
2,False,32,256,0.0001,0.2,0.7560239069049173
2,False,32,256,0.0001,0.4,0.7544214761362172
2,False,32,256,0.001,0.2,0.7613067474453947
2,False,32,256,0.001,0.4,0.7589948943406526
2,False,32,512,0.0001,0.2,0.756154383034032
2,False,32,512,0.0001,0.4,0.7553836385026782
2,False,32,512,0.001,0.2,0.7587040102559628
2,False,32,512,0.001,0.4,0.7589641381206669
2,False,64,128,0.0001,0.2,0.756532399172867
2,False,64,128,0.0001,0.4,0.7550576225708293
2,False,64,128,0.001,0.2,0.7617761127283316
2,False,64,128,0.001,0.4,0.7600178081684461
2,False,64,256,0.0001,0.2,0.7591203289862851
2,False,64,256,0.0001,0.4,0.7555243561359737
2,False,64,256,0.001,0.2,0.7597969024110847
2,False,64,256,0.001,0.4,0.7596313261422543
2,False,64,512,0.0001,0.2,0.756897700626945
2,False,64,512,0.0001,0.4,0.7572743216382753
2,False,64,512,0.001,0.2,0.7601384866975862
2,False,64,512,0.001,0.4,0.7589356965440408
2,True,16,128,0.0001,0.2,0.7548882731162481
2,True,16,128,0.0001,0.4,0.7553801189764735
2,True,16,128,0.001,0.2,0.7607655965108622
2,True,16,128,0.001,0.4,0.7615980120194041
2,True,16,256,0.0001,0.2,0.7559099503537535
2,True,16,256,0.0001,0.4,0.75383818600956
2,True,16,256,0.001,0.2,0.7584998143212122
2,True,16,256,0.001,0.4,0.7624223738373516
2,True,16,512,0.0001,0.2,0.7555460123197368
2,True,16,512,0.0001,0.4,0.753675336580852
2,True,16,512,0.001,0.2,0.7615201068312545
2,True,16,512,0.001,0.4,0.7586801345511698
2,True,32,128,0.0001,0.2,0.7574305125038936
2,True,32,128,0.0001,0.4,0.75460281100436
2,True,32,128,0.001,0.2,0.7628004216836297
2,True,32,128,0.001,0.4,0.7596045016452357
2,True,32,256,0.0001,0.2,0.7573140193572674
2,True,32,256,0.0001,0.4,0.7543132903397313
2,True,32,256,0.001,0.2,0.7594296668029664
2,True,32,256,0.001,0.4,0.7604330805531401
2,True,32,512,0.0001,0.2,0.7550512176672859
2,True,32,512,0.0001,0.4,0.7557387618674618
2,True,32,512,0.001,0.2,0.7594605181452819
2,True,32,512,0.001,0.4,0.7595608404958334
2,True,64,128,0.0001,0.2,0.7587267762002409
2,True,64,128,0.0001,0.4,0.758734607938732
2,True,64,128,0.001,0.2,0.7602956604939461
2,True,64,128,0.001,0.4,0.7603703315228806
2,True,64,256,0.0001,0.2,0.7564268133867302
2,True,64,256,0.0001,0.4,0.7559947043496524
2,True,64,256,0.001,0.2,0.7603814608354733
2,True,64,256,0.001,0.4,0.7595856991313682
2,True,64,512,0.0001,0.2,0.7565070966331261
2,True,64,512,0.0001,0.4,0.7555249902848393
2,True,64,512,0.001,0.2,0.7609842510397505
2,True,64,512,0.001,0.4,0.7590784751611499
