num_layers,bidirectional,lstm_size,batch_size,learning_rate,dropout,auc_score
1,False,16,128,0.0001,0.2,0.756780922113329
1,False,16,128,0.0001,0.4,0.7558426988665476
1,False,16,128,0.001,0.2,0.7608545993041611
1,False,16,128,0.001,0.4,0.7571856676268525
1,False,32,128,0.0001,0.2,0.7558885795369801
1,False,32,128,0.0001,0.4,0.7548644608263416
1,False,32,128,0.001,0.2,0.7566000945642788
1,False,32,128,0.001,0.4,0.7615054579924572
1,False,64,128,0.0001,0.2,0.7587707861315194
1,False,64,128,0.0001,0.4,0.7558735502088633
1,False,64,128,0.001,0.2,0.7595126451820413
1,False,64,128,0.001,0.4,0.759861300228395
1,True,16,128,0.0001,0.2,0.7550794055843657
1,True,16,128,0.0001,0.4,0.7549200756818621
1,True,16,128,0.001,0.2,0.759030850581337
1,True,16,128,0.001,0.4,0.7575579130110097
1,True,32,128,0.0001,0.2,0.7559337626436601
1,True,32,128,0.0001,0.4,0.7541146432075554
1,True,32,128,0.001,0.2,0.7578469580639892
1,True,32,128,0.001,0.4,0.7584226066968149
1,True,64,128,0.0001,0.2,0.7571267551972305
1,True,64,128,0.0001,0.4,0.7549481050617255
1,True,64,128,0.001,0.2,0.757495798129616
1,True,64,128,0.001,0.4,0.7593918715305716
2,False,16,128,0.0001,0.2,0.7570387036272301
2,False,16,128,0.0001,0.4,0.7539911744234065
2,False,16,128,0.001,0.2,0.7605725615961476
2,False,16,128,0.001,0.4,0.7592049561524108
2,False,32,128,0.0001,0.2,0.7554301216145329
2,False,32,128,0.0001,0.4,0.7552510696823066
2,False,32,128,0.001,0.2,0.7623764297520326
2,False,32,128,0.001,0.4,0.7602338309795418
2,False,64,128,0.0001,0.2,0.7556445590534644
2,False,64,128,0.0001,0.4,0.7562407858169815
2,False,64,128,0.001,0.2,0.7549174122566262
2,False,64,128,0.001,0.4,0.7610505830111012
2,True,16,128,0.0001,0.2,0.7589308453052184
2,True,16,128,0.0001,0.4,0.7541223798237169
2,True,16,128,0.001,0.2,0.7575484007780247
