num_layers,bidirectional,lstm_size,batch_size,learning_rate,dropout,auc_score
1,False,16,128,0.0001,0.2,0.7225135408431234
1,False,16,128,0.0001,0.4,0.7244152683793843
1,False,16,128,0.001,0.2,0.7212555453678234
1,False,16,128,0.001,0.4,0.7260207570832101
1,False,32,128,0.0001,0.2,0.7240387801074848
1,False,32,128,0.0001,0.4,0.7251752174154649
1,False,32,128,0.001,0.2,0.7232267610252732
1,False,32,128,0.001,0.4,0.7238835961094651
1,False,64,128,0.0001,0.2,0.7235064500552748
1,False,64,128,0.0001,0.4,0.724017704762891
1,False,64,128,0.001,0.2,0.72150718656095
1,False,64,128,0.001,0.4,0.722547482409323
1,True,16,128,0.0001,0.2,0.724119318971157
1,True,16,128,0.0001,0.4,0.7235108966635598
1,True,16,128,0.001,0.2,0.7250347677407568
1,True,16,128,0.001,0.4,0.725865467840024
1,True,32,128,0.0001,0.2,0.7222573477965452
1,True,32,128,0.0001,0.4,0.7236982330599484
1,True,32,128,0.001,0.2,0.7227874413889668
1,True,32,128,0.001,0.4,0.7245438779728604
1,True,64,128,0.0001,0.2,0.7225984473812055
1,True,64,128,0.0001,0.4,0.723740594239469
1,True,64,128,0.001,0.2,0.7212009757489878
1,True,64,128,0.001,0.4,0.7227730754237381
2,False,16,128,0.0001,0.2,0.7242303789331173
2,False,16,128,0.0001,0.4,0.724399902585074
2,False,16,128,0.001,0.2,0.7200960593683774
2,False,16,128,0.001,0.4,0.7214599577924785
2,False,32,128,0.0001,0.2,0.7252657545699557
2,False,32,128,0.0001,0.4,0.7235984080195134
2,False,32,128,0.001,0.2,0.718828223470009
2,False,32,128,0.001,0.4,0.724415794605217
2,False,64,128,0.0001,0.2,0.7237736149104615
2,False,64,128,0.0001,0.4,0.7247960453918193
2,False,64,128,0.001,0.2,0.7226233641743769
2,False,64,128,0.001,0.4,0.7269963534654706
2,True,16,128,0.0001,0.2,0.7226311786279904
2,True,16,128,0.0001,0.4,0.7235140277072636
2,True,16,128,0.001,0.2,0.7230140079211722
2,True,16,128,0.001,0.4,0.7265903702356565
2,True,32,128,0.0001,0.2,0.7236499255285201
2,True,32,128,0.0001,0.4,0.7238207384337667
2,True,32,128,0.001,0.2,0.7241067684850507
