num_layers,bidirectional,lstm_size,batch_size,learning_rate,dropout,auc_score
1,False,16,128,0.0001,0.2,0.7142887896893512
1,False,16,128,0.0001,0.4,0.7106123740981807
1,False,16,128,0.001,0.2,0.7130126067713018
1,False,16,128,0.001,0.4,0.7155701028464292
1,False,32,128,0.0001,0.2,0.7164245034024511
1,False,32,128,0.0001,0.4,0.7165384714227467
1,False,32,128,0.001,0.2,0.7181501815625155
1,False,32,128,0.001,0.4,0.7152713982749355
1,False,64,128,0.0001,0.2,0.7155626232456022
1,False,64,128,0.0001,0.4,0.7195365447542875
1,False,64,128,0.001,0.2,0.7156600498409914
1,False,64,128,0.001,0.4,0.7153807634639527
1,True,16,128,0.0001,0.2,0.7134563005280599
1,True,16,128,0.0001,0.4,0.7082510257601289
1,True,16,128,0.001,0.2,0.7176621376085452
1,True,16,128,0.001,0.4,0.7127664511902346
1,True,32,128,0.0001,0.2,0.7186651233117678
1,True,32,128,0.0001,0.4,0.7122956199073988
1,True,32,128,0.001,0.2,0.7167389822603047
1,True,32,128,0.001,0.4,0.7150413526033421
1,True,64,128,0.0001,0.2,0.7154736831203822
1,True,64,128,0.0001,0.4,0.711213666880059
1,True,64,128,0.001,0.2,0.712812815126131
1,True,64,128,0.001,0.4,0.7171350654810285
2,False,16,128,0.0001,0.2,0.7191582016124485
2,False,16,128,0.0001,0.4,0.711111445668755
2,False,16,128,0.001,0.2,0.7169996655275938
2,False,16,128,0.001,0.4,0.719426460372883
2,False,32,128,0.0001,0.2,0.7184940993620859
2,False,32,128,0.0001,0.4,0.7151174431579106
2,False,32,128,0.001,0.2,0.7149506384702337
2,False,32,128,0.001,0.4,0.7170004326661401
2,False,64,128,0.0001,0.2,0.7153016043551989
2,False,64,128,0.0001,0.4,0.7141850342009541
2,False,64,128,0.001,0.2,0.7205177629012567
2,False,64,128,0.001,0.4,0.7183728435256
2,True,16,128,0.0001,0.2,0.7226646001232792
2,True,16,128,0.0001,0.4,0.7171265790108592
2,True,16,128,0.001,0.2,0.7191002826521975
2,True,16,128,0.001,0.4,0.7157827920084109
2,True,32,128,0.0001,0.2,0.7117427048001008
2,True,32,128,0.0001,0.4,0.7162621577075753
2,True,32,128,0.001,0.2,0.7142381585452905
2,True,32,128,0.001,0.4,0.7187830229171134
2,True,64,128,0.0001,0.2,0.7170711053047247
2,True,64,128,0.0001,0.4,0.7095990799707412
2,True,64,128,0.001,0.2,0.7127540331350152
2,True,64,128,0.001,0.4,0.7175716632062326
1,False,16,256,0.0001,0.2,0.712837747128888
1,False,16,256,0.0001,0.4,0.7124853428591483
1,False,16,256,0.001,0.2,0.7154351344084269
1,False,16,256,0.001,0.4,0.7164189895941492
1,False,16,512,0.0001,0.2,0.7145733501438962
1,False,16,512,0.0001,0.4,0.7081079544212304
1,False,16,512,0.001,0.2,0.7194309193656838
1,False,16,512,0.001,0.4,0.7177269608157137
1,False,32,256,0.0001,0.2,0.7172383415078338
1,False,32,256,0.0001,0.4,0.7116912106251757
1,False,32,256,0.001,0.2,0.714790018837087
1,False,32,256,0.001,0.4,0.7135674876711247
1,False,32,512,0.0001,0.2,0.7140204350365983
1,False,32,512,0.0001,0.4,0.7086600064976634
1,False,32,512,0.001,0.2,0.7177224059305947
1,False,32,512,0.001,0.4,0.7181857576126035
1,False,64,256,0.0001,0.2,0.715219184907623
1,False,64,256,0.0001,0.4,0.7146851605870298
1,False,64,256,0.001,0.2,0.7125050007843992
1,False,64,256,0.001,0.4,0.7157116399082349
1,False,64,512,0.0001,0.2,0.7154343193237213
1,False,64,512,0.0001,0.4,0.7062708493873057
1,False,64,512,0.001,0.2,0.7137392308131937
1,False,64,512,0.001,0.4,0.7129147486604802
1,True,16,256,0.0001,0.2,0.7171218323411036
1,True,16,256,0.0001,0.4,0.7119796547186116
1,True,16,256,0.001,0.2,0.7168208263539707
1,True,16,256,0.001,0.4,0.7180505973899646
1,True,16,512,0.0001,0.2,0.7114814941250612
1,True,16,512,0.0001,0.4,0.7141533417897573
1,True,16,512,0.001,0.2,0.7142943993899713
1,True,16,512,0.001,0.4,0.7156715089730278
1,True,32,256,0.0001,0.2,0.7144431283756494
1,True,32,256,0.0001,0.4,0.7094024048259151
1,True,32,256,0.001,0.2,0.713244522343102
1,True,32,256,0.001,0.4,0.715749852997076
1,True,32,512,0.0001,0.2,0.714287543089213
1,True,32,512,0.0001,0.4,0.7148208002712602
1,True,32,512,0.001,0.2,0.7145534045416904
1,True,32,512,0.001,0.4,0.7154112092750119
1,True,64,256,0.0001,0.2,0.7078616550016859
1,True,64,256,0.0001,0.4,0.711253078622879
1,True,64,256,0.001,0.2,0.7122522765795286
1,True,64,256,0.001,0.4,0.7129342627472536
1,True,64,512,0.0001,0.2,0.710986641816492
1,True,64,512,0.0001,0.4,0.7088272906469318
1,True,64,512,0.001,0.2,0.7149052334575202
1,True,64,512,0.001,0.4,0.7143022146139125
2,False,16,256,0.0001,0.2,0.7202366545701704
2,False,16,256,0.0001,0.4,0.7115404679008135
2,False,16,256,0.001,0.2,0.7149123774352334
2,False,16,256,0.001,0.4,0.7202710319662796
2,False,16,512,0.0001,0.2,0.7169919461959708
2,False,16,512,0.0001,0.4,0.7153525231762143
2,False,16,512,0.001,0.2,0.7178150858562282
2,False,16,512,0.001,0.4,0.7166750220840009
2,False,32,256,0.0001,0.2,0.7195565383026523
2,False,32,256,0.0001,0.4,0.7138440890632509
2,False,32,256,0.001,0.2,0.7191110225918466
2,False,32,256,0.001,0.4,0.7145962204618098
2,False,32,512,0.0001,0.2,0.7215959761281827
2,False,32,512,0.0001,0.4,0.709461186817031
2,False,32,512,0.001,0.2,0.7135177675040879
2,False,32,512,0.001,0.4,0.719798666406351
2,False,64,256,0.0001,0.2,0.717748057125739
2,False,64,256,0.0001,0.4,0.7147270175839662
2,False,64,256,0.001,0.2,0.7150934221321772
2,False,64,256,0.001,0.4,0.7192325181591283
2,False,64,512,0.0001,0.2,0.7149421520000645
2,False,64,512,0.0001,0.4,0.7119779286568824
2,False,64,512,0.001,0.2,0.7189525605358618
2,False,64,512,0.001,0.4,0.713392963651825
2,True,16,256,0.0001,0.2,0.7202641756655214
2,True,16,256,0.0001,0.4,0.7180997901492507
2,True,16,256,0.001,0.2,0.7109877445781525
2,True,16,256,0.001,0.4,0.7132913177944306
2,True,16,512,0.0001,0.2,0.7158473754847837
2,True,16,512,0.0001,0.4,0.708850640426437
2,True,16,512,0.001,0.2,0.7222324134447167
2,True,16,512,0.001,0.4,0.7189236490018951
2,True,32,256,0.0001,0.2,0.7191322627403494
2,True,32,256,0.0001,0.4,0.7129028580130115
2,True,32,256,0.001,0.2,0.7111690290058919
2,True,32,256,0.001,0.4,0.7108257824525497
2,True,32,512,0.0001,0.2,0.7161339976241718
2,True,32,512,0.0001,0.4,0.7151215665275973
2,True,32,512,0.001,0.2,0.7218413645707036
2,True,32,512,0.001,0.4,0.7151041620718264
2,True,64,256,0.0001,0.2,0.7125576456671439
2,True,64,256,0.0001,0.4,0.7198960930017403
2,True,64,256,0.001,0.2,0.7130284290038208
2,True,64,256,0.001,0.4,0.7144431763218085
