num_layers,bidirectional,lstm_size,batch_size,learning_rate,dropout,auc_score
1,False,16,128,0.0001,0.2,0.6006114841848986
1,False,16,128,0.0001,0.4,0.607571153897513
1,False,16,128,0.001,0.2,0.6095528831886554
1,False,16,128,0.001,0.4,0.6202025994422776
1,False,32,128,0.0001,0.2,0.6104890695729763
1,False,32,128,0.0001,0.4,0.6126605243439978
1,False,32,128,0.001,0.2,0.61421872001197
1,False,32,128,0.001,0.4,0.6015762019637894
1,False,64,128,0.0001,0.2,0.6106483560359741
1,False,64,128,0.0001,0.4,0.6019902804155034
1,False,64,128,0.001,0.2,0.6143698783451195
1,False,64,128,0.001,0.4,0.6117792857762538
1,True,16,128,0.0001,0.2,0.6124433042208052
1,True,16,128,0.0001,0.4,0.6090699644535317
1,True,16,128,0.001,0.2,0.6193428008905114
1,True,16,128,0.001,0.4,0.604486611560158
1,True,32,128,0.0001,0.2,0.6107560952265152
1,True,32,128,0.0001,0.4,0.6073156569179425
1,True,32,128,0.001,0.2,0.6085126069782152
1,True,32,128,0.001,0.4,0.6036990538359216
1,True,64,128,0.0001,0.2,0.6018537195400407
1,True,64,128,0.0001,0.4,0.6222994081228548
1,True,64,128,0.001,0.2,0.6200823777666122
1,True,64,128,0.001,0.4,0.6075950821165053
2,False,16,128,0.0001,0.2,0.5929469065581898
2,False,16,128,0.0001,0.4,0.6035062595723244
2,False,16,128,0.001,0.2,0.612517245320395
2,False,16,128,0.001,0.4,0.6111902866525989
2,False,32,128,0.0001,0.2,0.6137917858446795
2,False,32,128,0.0001,0.4,0.6136054609089207
2,False,32,128,0.001,0.2,0.6061268349875183
2,False,32,128,0.001,0.4,0.613271087893781
2,False,64,128,0.0001,0.2,0.6098427588398803
2,False,64,128,0.0001,0.4,0.6001022734379186
2,False,64,128,0.001,0.2,0.6088419206472246
2,False,64,128,0.001,0.4,0.6099031807030899
2,True,16,128,0.0001,0.2,0.6030404679679526
2,True,16,128,0.0001,0.4,0.6090008338797704
2,True,16,128,0.001,0.2,0.5932320960937368
2,True,16,128,0.001,0.4,0.6085305635099719
2,True,32,128,0.0001,0.2,0.6180597175358762
2,True,32,128,0.0001,0.4,0.6011176261481606
2,True,32,128,0.001,0.2,0.6034936112069991
2,True,32,128,0.001,0.4,0.6215658029339894
2,True,64,128,0.0001,0.2,0.6078546016909496
2,True,64,128,0.0001,0.4,0.6057674140620295
2,True,64,128,0.001,0.2,0.609618862038598
2,True,64,128,0.001,0.4,0.6173517823081135
1,False,16,256,0.0001,0.2,0.6078020591372869
1,False,16,256,0.0001,0.4,0.5903074208000834
1,False,16,256,0.001,0.2,0.6067846743945828
1,False,16,256,0.001,0.4,0.6080004933277178
1,False,16,512,0.0001,0.2,0.6136541467479104
1,False,16,512,0.0001,0.4,0.5983765802369997
1,False,16,512,0.001,0.2,0.6136342411237918
1,False,16,512,0.001,0.4,0.606567744561742
1,False,32,256,0.0001,0.2,0.6096466469722635
1,False,32,256,0.0001,0.4,0.6034449253680093
1,False,32,256,0.001,0.2,0.6236305552657259
1,False,32,256,0.001,0.4,0.6071531357910255
1,False,32,512,0.0001,0.2,0.611616971999588
1,False,32,512,0.0001,0.4,0.6029697615322818
1,False,32,512,0.001,0.2,0.6115591627495439
1,False,32,512,0.001,0.4,0.6030217235052411
1,False,64,256,0.0001,0.2,0.5996444440831943
1,False,64,256,0.0001,0.4,0.6041616522464244
1,False,64,256,0.001,0.2,0.6200413638869181
1,False,64,256,0.001,0.4,0.6237614347443048
1,False,64,512,0.0001,0.2,0.6062799424130294
1,False,64,512,0.0001,0.4,0.6007763691046799
1,False,64,512,0.001,0.2,0.6053564873341344
1,False,64,512,0.001,0.4,0.6039646695077521
1,True,16,256,0.0001,0.2,0.6072020704503166
1,True,16,256,0.0001,0.4,0.6157425370082875
1,True,16,256,0.001,0.2,0.6056486438381228
1,True,16,256,0.001,0.4,0.6166706782028605
1,True,16,512,0.0001,0.2,0.6079384541325485
1,True,16,512,0.0001,0.4,0.5900801234546807
1,True,16,512,0.001,0.2,0.6170244177314654
1,True,16,512,0.001,0.4,0.6128009419341334
1,True,32,256,0.0001,0.2,0.6100253514711168
1,True,32,256,0.0001,0.4,0.6138546129708032
1,True,32,256,0.001,0.2,0.6190173024661244
1,True,32,256,0.001,0.4,0.611384407957804
1,True,32,512,0.0001,0.2,0.6064572683478846
1,True,32,512,0.0001,0.4,0.6023164008906439
1,True,32,512,0.001,0.2,0.6106761409696395
1,True,32,512,0.001,0.4,0.597318928075506
1,True,64,256,0.0001,0.2,0.6127837733333311
1,True,64,256,0.0001,0.4,0.6008855597469797
1,True,64,256,0.001,0.2,0.6062479275342388
1,True,64,256,0.001,0.4,0.6007570025912147
1,True,64,512,0.0001,0.2,0.6000031600178287
1,True,64,512,0.0001,0.4,0.6085685086059478
1,True,64,512,0.001,0.2,0.6083362348545156
1,True,64,512,0.001,0.4,0.6217556942940694
2,False,16,256,0.0001,0.2,0.6031294212257319
2,False,16,256,0.0001,0.4,0.6065098109015473
2,False,16,256,0.001,0.2,0.6127990343118219
2,False,16,256,0.001,0.4,0.6057543095261516
2,False,16,512,0.0001,0.2,0.6119727850307053
2,False,16,512,0.0001,0.4,0.6064116098225629
2,False,16,512,0.001,0.2,0.6024381984282187
2,False,16,512,0.001,0.4,0.6072048489436832
2,False,32,256,0.0001,0.2,0.6047140747857616
2,False,32,256,0.0001,0.4,0.6018650823338083
2,False,32,256,0.001,0.2,0.6139581636862694
2,False,32,256,0.001,0.4,0.6069032787382886
2,False,32,512,0.0001,0.2,0.6138633631514053
2,False,32,512,0.0001,0.4,0.6015195124051019
2,False,32,512,0.001,0.2,0.6070643484134471
2,False,32,512,0.001,0.4,0.6226003562774957
2,False,64,256,0.0001,0.2,0.6051418798241073
2,False,64,256,0.0001,0.4,0.5976438873892398
2,False,64,256,0.001,0.2,0.6048859681440344
2,False,64,256,0.001,0.4,0.6075518703241481
2,False,64,512,0.0001,0.2,0.6017690376974368
2,False,64,512,0.0001,0.4,0.6092343932027602
2,False,64,512,0.001,0.2,0.6023324912701397
2,False,64,512,0.001,0.4,0.6102169845733072
2,True,16,256,0.0001,0.2,0.6099141702664053
2,True,16,256,0.0001,0.4,0.6046977770560147
2,True,16,256,0.001,0.2,0.6182077241452069
2,True,16,256,0.001,0.4,0.6134010135612041
2,True,16,512,0.0001,0.2,0.6039651256783048
2,True,16,512,0.0001,0.4,0.6083584628014479
2,True,16,512,0.001,0.2,0.6060591973355659
2,True,16,512,0.001,0.4,0.6104558105926783
2,True,32,256,0.0001,0.2,0.6098108683712405
2,True,32,256,0.0001,0.4,0.6090294067443903
2,True,32,256,0.001,0.2,0.6092954785867737
2,True,32,256,0.001,0.4,0.6112752587855546
2,True,32,512,0.0001,0.2,0.6053351717283074
2,True,32,512,0.0001,0.4,0.6093468185089792
2,True,32,512,0.001,0.2,0.6241736885138081
2,True,32,512,0.001,0.4,0.6205868194578139
2,True,64,256,0.0001,0.2,0.6042849012357576
2,True,64,256,0.0001,0.4,0.600599126109925
2,True,64,256,0.001,0.2,0.6135252578317434
2,True,64,256,0.001,0.4,0.6049357736743808
2,True,64,512,0.0001,0.2,0.6057982677794131
2,True,64,512,0.0001,0.4,0.6086561762921695
2,True,64,512,0.001,0.2,0.6158502761988287
2,True,64,512,0.001,0.4,0.6133222619357854
