num_layers,bidirectional,lstm_size,batch_size,learning_rate,dropout,auc_score
1,False,16,128,0.0001,0.2,0.634927984426956
1,False,16,128,0.0001,0.4,0.6358012103028834
1,False,16,128,0.001,0.2,0.6394904465768494
1,False,16,128,0.001,0.4,0.6411277568197731
1,False,16,256,0.0001,0.2,0.6392708971985481
1,False,16,256,0.0001,0.4,0.6401288329447326
1,False,16,256,0.001,0.2,0.643042165487607
1,False,16,256,0.001,0.4,0.6362548487534135
1,False,16,512,0.0001,0.2,0.6384126800389326
1,False,16,512,0.0001,0.4,0.6353925980012892
1,False,16,512,0.001,0.2,0.6304703487800539
1,False,16,512,0.001,0.4,0.6387186702427435
1,False,32,128,0.0001,0.2,0.6391064579504547
1,False,32,128,0.0001,0.4,0.6442029020853862
1,False,32,128,0.001,0.2,0.6309053201396713
1,False,32,128,0.001,0.4,0.6408021145780413
1,False,32,256,0.0001,0.2,0.6377967129410405
1,False,32,256,0.0001,0.4,0.6383821935839239
1,False,32,256,0.001,0.2,0.6363058783888743
1,False,32,256,0.001,0.4,0.6428267435062912
1,False,32,512,0.0001,0.2,0.6373592088605458
1,False,32,512,0.0001,0.4,0.6389460991971088
1,False,32,512,0.001,0.2,0.6341843963381735
1,False,32,512,0.001,0.4,0.6403951438547937
1,False,64,128,0.0001,0.2,0.6382810723577719
1,False,64,128,0.0001,0.4,0.6424695360580657
1,False,64,128,0.001,0.2,0.6352498275873713
1,False,64,128,0.001,0.4,0.6418558671698589
1,False,64,256,0.0001,0.2,0.6347109208672937
1,False,64,256,0.0001,0.4,0.6376491584987982
1,False,64,256,0.001,0.2,0.6380636804824402
1,False,64,256,0.001,0.4,0.6334508453284244
1,False,64,512,0.0001,0.2,0.6377567991360983
1,False,64,512,0.0001,0.4,0.6381182746880251
1,False,64,512,0.001,0.2,0.6344861653405215
1,False,64,512,0.001,0.4,0.6344399666356236
1,True,16,128,0.0001,0.2,0.6393240374347402
1,True,16,128,0.0001,0.4,0.6387217657904828
1,True,16,128,0.001,0.2,0.6366603186050299
1,True,16,128,0.001,0.4,0.6419681980310065
1,True,16,256,0.0001,0.2,0.6354039483430001
1,True,16,256,0.0001,0.4,0.6362578973989144
1,True,16,256,0.001,0.2,0.6317436976524116
1,True,16,256,0.001,0.4,0.6392650344187387
1,True,16,512,0.0001,0.2,0.6379268666528086
1,True,16,512,0.0001,0.4,0.636173332662944
1,True,16,512,0.001,0.2,0.6371820591058257
1,True,16,512,0.001,0.4,0.6388558123880443
1,True,32,128,0.0001,0.2,0.6405426513947975
1,True,32,128,0.0001,0.4,0.6397383249071898
