num_layers,bidirectional,lstm_size,batch_size,learning_rate,dropout,auc_score
1,False,16,128,0.0001,0.2,0.647436219868756
1,False,16,128,0.0001,0.4,0.6512690659023503
1,False,16,128,0.001,0.2,0.6425262179816004
1,False,16,128,0.001,0.4,0.6512614212607453
1,False,16,256,0.0001,0.2,0.6512149255903086
1,False,16,256,0.0001,0.4,0.6491296003108082
1,False,16,256,0.001,0.2,0.6492396905360445
1,False,16,256,0.001,0.4,0.6477844757640856
1,False,16,512,0.0001,0.2,0.649440593194644
1,False,16,512,0.0001,0.4,0.6477632406485169
1,False,16,512,0.001,0.2,0.6505556029498716
1,False,16,512,0.001,0.4,0.6501473717020482
1,False,32,128,0.0001,0.2,0.6460909106688544
1,False,32,128,0.0001,0.4,0.6494735353217527
1,False,32,128,0.001,0.2,0.6476757889030087
1,False,32,128,0.001,0.4,0.6431302923909226
1,False,32,256,0.0001,0.2,0.6475729740130195
1,False,32,256,0.0001,0.4,0.6515652865318773
1,False,32,256,0.001,0.2,0.6469854445285232
1,False,32,256,0.001,0.4,0.6462416615240756
1,False,32,512,0.0001,0.2,0.6473498021810494
1,False,32,512,0.0001,0.4,0.6482497648441767
1,False,32,512,0.001,0.2,0.6464233233214379
1,False,32,512,0.001,0.4,0.6491792720159215
1,False,64,128,0.0001,0.2,0.646583823864503
1,False,64,128,0.0001,0.4,0.6491085129177825
1,False,64,128,0.001,0.2,0.6488225959356358
1,False,64,128,0.001,0.4,0.6426725002298932
1,False,64,256,0.0001,0.2,0.6527503167725284
1,False,64,256,0.0001,0.4,0.649738106396423
1,False,64,256,0.001,0.2,0.653497165019745
1,False,64,256,0.001,0.4,0.6446824500817829
1,False,64,512,0.0001,0.2,0.6485077991963155
1,False,64,512,0.0001,0.4,0.6477518290820632
1,False,64,512,0.001,0.2,0.649234114010043
1,False,64,512,0.001,0.4,0.6472838071349251
1,True,16,128,0.0001,0.2,0.6514240637806852
1,True,16,128,0.0001,0.4,0.6476193588915491
1,True,16,128,0.001,0.2,0.6463303689111999
1,True,16,128,0.001,0.4,0.6533283920142671
1,True,16,256,0.0001,0.2,0.6488296127564325
1,True,16,256,0.0001,0.4,0.6473856987590197
1,True,16,256,0.001,0.2,0.6473569667243892
1,True,16,256,0.001,0.4,0.6472694780482454
1,True,16,512,0.0001,0.2,0.6483197483989647
1,True,16,512,0.0001,0.4,0.6473707418515322
1,True,16,512,0.001,0.2,0.6461705331195788
1,True,16,512,0.001,0.4,0.6527517201366877
1,True,32,128,0.0001,0.2,0.6473537906897129
1,True,32,128,0.0001,0.4,0.6509318522671164
1,True,32,128,0.001,0.2,0.6454607263000416
1,True,32,128,0.001,0.4,0.6461250715069435
1,True,32,256,0.0001,0.2,0.64443641818627
1,True,32,256,0.0001,0.4,0.6489762273804472
1,True,32,256,0.001,0.2,0.6470447920602088
1,True,32,256,0.001,0.4,0.6470820181410669
1,True,32,512,0.0001,0.2,0.6502210483204132
1,True,32,512,0.0001,0.4,0.6482442991100825
1,True,32,512,0.001,0.2,0.640984770175114
1,True,32,512,0.001,0.4,0.6482102490639008
1,True,64,128,0.0001,0.2,0.6480785174861021
1,True,64,128,0.0001,0.4,0.649004294663634
1,True,64,128,0.001,0.2,0.6393328628370336
1,True,64,128,0.001,0.4,0.6499847661127441
1,True,64,256,0.0001,0.2,0.6484614881790575
1,True,64,256,0.0001,0.4,0.6498792183557078
1,True,64,256,0.001,0.2,0.6472065482448901
1,True,64,256,0.001,0.4,0.6488073805136978
1,True,64,512,0.0001,0.2,0.652437957455169
1,True,64,512,0.0001,0.4,0.6470255511989715
1,True,64,512,0.001,0.2,0.6460475171718224
1,True,64,512,0.001,0.4,0.6509297102902415
2,False,16,128,0.0001,0.2,0.6489264818140624
2,False,16,128,0.0001,0.4,0.650591942695471
2,False,16,128,0.001,0.2,0.6407450164876822
2,False,16,128,0.001,0.4,0.6450053346303373
2,False,16,256,0.0001,0.2,0.6451697128901583
2,False,16,256,0.0001,0.4,0.6464136474948657
2,False,16,256,0.001,0.2,0.6433322660379595
2,False,16,256,0.001,0.4,0.6496213317261121
2,False,16,512,0.0001,0.2,0.648001590971789
2,False,16,512,0.0001,0.4,0.6447835661625266
2,False,16,512,0.001,0.2,0.6510664275038694
2,False,16,512,0.001,0.4,0.6477020465850426
2,False,32,128,0.0001,0.2,0.6482609548268157
2,False,32,128,0.0001,0.4,0.6481908235494848
2,False,32,128,0.001,0.2,0.6355756507455004
2,False,32,128,0.001,0.4,0.6474949026489976
