num_layers,bidirectional,lstm_size,batch_size,learning_rate,dropout,auc_score
1,False,16,128,0.0001,0.2,0.5894521782813107
1,False,16,128,0.0001,0.4,0.5937456328399758
1,False,16,128,0.001,0.2,0.5891892375844672
1,False,16,128,0.001,0.4,0.5886149174811572
1,False,16,256,0.0001,0.2,0.5885975564507534
1,False,16,256,0.0001,0.4,0.589407326561441
1,False,16,256,0.001,0.2,0.587701497714571
1,False,16,256,0.001,0.4,0.5932824233312506
1,False,16,512,0.0001,0.2,0.593097305964085
1,False,16,512,0.0001,0.4,0.5918737694114254
1,False,16,512,0.001,0.2,0.5910474417560386
1,False,16,512,0.001,0.4,0.5888149567256948
1,False,32,128,0.0001,0.2,0.5897155207210067
1,False,32,128,0.0001,0.4,0.5895404756210672
1,False,32,128,0.001,0.2,0.5830637208355494
1,False,32,128,0.001,0.4,0.5886507873786858
1,False,32,256,0.0001,0.2,0.589986811929995
1,False,32,256,0.0001,0.4,0.5901607665850497
1,False,32,256,0.001,0.2,0.5882840248504354
1,False,32,256,0.001,0.4,0.5898583976968428
1,False,32,512,0.0001,0.2,0.5897316478269355
1,False,32,512,0.0001,0.4,0.594441939290801
1,False,32,512,0.001,0.2,0.585899049711718
1,False,32,512,0.001,0.4,0.5824964599280731
1,False,64,128,0.0001,0.2,0.5907724200777074
1,False,64,128,0.0001,0.4,0.5908952099109274
1,False,64,128,0.001,0.2,0.5755576434705509
1,False,64,128,0.001,0.4,0.5899989503033187
1,False,64,256,0.0001,0.2,0.5913911614621167
1,False,64,256,0.0001,0.4,0.5924581904778794
1,False,64,256,0.001,0.2,0.5869244696463475
1,False,64,256,0.001,0.4,0.588307239848116
1,False,64,512,0.0001,0.2,0.5872361073160759
1,False,64,512,0.0001,0.4,0.5924101822070271
1,False,64,512,0.001,0.2,0.5823517464134836
1,False,64,512,0.001,0.4,0.5872045418062508
1,True,16,128,0.0001,0.2,0.5915951894392594
1,True,16,128,0.0001,0.4,0.5918364360220778
1,True,16,128,0.001,0.2,0.584271072890444
1,True,16,128,0.001,0.4,0.5894166240388805
1,True,16,256,0.0001,0.2,0.5900297410233573
1,True,16,256,0.0001,0.4,0.5939018821136105
1,True,16,256,0.001,0.2,0.5861918915551414
1,True,16,256,0.001,0.4,0.590355468388835
1,True,16,512,0.0001,0.2,0.5899532664018263
1,True,16,512,0.0001,0.4,0.5925647097255804
1,True,16,512,0.001,0.2,0.5770059838450016
1,True,16,512,0.001,0.4,0.591889322598994
1,True,32,128,0.0001,0.2,0.5911751959830764
1,True,32,128,0.0001,0.4,0.590560012892502
1,True,32,128,0.001,0.2,0.584556970321706
1,True,32,128,0.001,0.4,0.5894658375382896
1,True,32,256,0.0001,0.2,0.5904071497371941
1,True,32,256,0.0001,0.4,0.5911209320020953
1,True,32,256,0.001,0.2,0.5822062294131898
1,True,32,256,0.001,0.4,0.5854796301738955
1,True,32,512,0.0001,0.2,0.590598867165505
1,True,32,512,0.0001,0.4,0.5937087872812346
1,True,32,512,0.001,0.2,0.5824043173353016
1,True,32,512,0.001,0.4,0.5913585342033246
1,True,64,128,0.0001,0.2,0.5860942680420276
1,True,64,128,0.0001,0.4,0.5914914249996887
1,True,64,128,0.001,0.2,0.5828400074586431
1,True,64,128,0.001,0.4,0.5890576381044141
1,True,64,256,0.0001,0.2,0.58935596086818
1,True,64,256,0.0001,0.4,0.593615439459906
1,True,64,256,0.001,0.2,0.5875229517126326
1,True,64,256,0.001,0.4,0.5886066243608487
1,True,64,512,0.0001,0.2,0.5906255830651843
1,True,64,512,0.0001,0.4,0.5925878960273429
1,True,64,512,0.001,0.2,0.5881119928218883
1,True,64,512,0.001,0.4,0.5874257873342073
2,False,16,128,0.0001,0.2,0.5882880709748767
2,False,16,128,0.0001,0.4,0.5894485912915579
2,False,16,128,0.001,0.2,0.58569843654882
2,False,16,128,0.001,0.4,0.5902753780816331
2,False,16,256,0.0001,0.2,0.5934427761211625
2,False,16,256,0.0001,0.4,0.5933715241567117
2,False,16,256,0.001,0.2,0.5816279779691106
2,False,16,256,0.001,0.4,0.5891632390827384
2,False,16,512,0.0001,0.2,0.588501625996803
2,False,16,512,0.0001,0.4,0.590921208412656
2,False,16,512,0.001,0.2,0.5852150825056427
2,False,16,512,0.001,0.4,0.5946594830453324
2,False,32,128,0.0001,0.2,0.5888840851922119
2,False,32,128,0.0001,0.4,0.5894415320957243
2,False,32,128,0.001,0.2,0.5803568061925333
2,False,32,128,0.001,0.4,0.5845350466403364
2,False,32,256,0.0001,0.2,0.58786842186971
2,False,32,256,0.0001,0.4,0.5889856974379308
2,False,32,256,0.001,0.2,0.5849197441173511
2,False,32,256,0.001,0.4,0.5899610429956105
2,False,32,512,0.0001,0.2,0.5915314271094125
2,False,32,512,0.0001,0.4,0.5908846785090128
2,False,32,512,0.001,0.2,0.5872727806993092
2,False,32,512,0.001,0.4,0.5865094405839826
2,False,64,128,0.0001,0.2,0.5904852887219705
2,False,64,128,0.0001,0.4,0.5903661432703394
2,False,64,128,0.001,0.2,0.5840965730129469
2,False,64,128,0.001,0.4,0.5866311112763996
2,False,64,256,0.0001,0.2,0.5887194280145965
2,False,64,256,0.0001,0.4,0.588247179291694
2,False,64,256,0.001,0.2,0.583770644776043
2,False,64,256,0.001,0.4,0.587242535201713
2,False,64,512,0.0001,0.2,0.5887353255531813
2,False,64,512,0.0001,0.4,0.5934288299050033
2,False,64,512,0.001,0.2,0.5859376170255407
2,False,64,512,0.001,0.4,0.5912162024499312
2,True,16,128,0.0001,0.2,0.5922774348902533
2,True,16,128,0.0001,0.4,0.5932656075232892
2,True,16,128,0.001,0.2,0.5854346923662717
2,True,16,128,0.001,0.4,0.5869863954374409
2,True,16,256,0.0001,0.2,0.5887642223426303
2,True,16,256,0.0001,0.4,0.5939209362031777
2,True,16,256,0.001,0.2,0.5843769608279484
2,True,16,256,0.001,0.4,0.5950806243382362
2,True,16,512,0.0001,0.2,0.5908530556073517
2,True,16,512,0.0001,0.4,0.5906272761243476
2,True,16,512,0.001,0.2,0.5860554711608605
2,True,16,512,0.001,0.4,0.5917967782633701
2,True,32,128,0.0001,0.2,0.5906508354730445
2,True,32,128,0.0001,0.4,0.5911396417406461
2,True,32,128,0.001,0.2,0.5804449600526995
2,True,32,128,0.001,0.4,0.5904482135958848
2,True,32,256,0.0001,0.2,0.5893979143003296
2,True,32,256,0.0001,0.4,0.5922496572416072
2,True,32,256,0.001,0.2,0.5817293319515675
2,True,32,256,0.001,0.4,0.5884594716932273
2,True,32,512,0.0001,0.2,0.5906055533144043
2,True,32,512,0.0001,0.4,0.590858565223612
2,True,32,512,0.001,0.2,0.587562351208078
2,True,32,512,0.001,0.4,0.5906283378733145
2,True,64,128,0.0001,0.2,0.5902782476734354
2,True,64,128,0.0001,0.4,0.5909874385914529
2,True,64,128,0.001,0.2,0.5816556121381667
2,True,64,128,0.001,0.4,0.5889570015199079
2,True,64,256,0.0001,0.2,0.5870408315939303
2,True,64,256,0.0001,0.4,0.5908979934149755
2,True,64,256,0.001,0.2,0.5777876893478628
2,True,64,256,0.001,0.4,0.5887621275406145
2,True,64,512,0.0001,0.2,0.5928569202588073
2,True,64,512,0.0001,0.4,0.5888548153558285
2,True,64,512,0.001,0.2,0.5865595436568505
2,True,64,512,0.001,0.4,0.5908015464345006
