num_layers,bidirectional,lstm_size,batch_size,learning_rate,dropout,auc_score
1,False,16,128,0.0001,0.2,0.7242548221230392
1,False,16,128,0.0001,0.4,0.7217372524949419
1,False,16,128,0.001,0.2,0.7235812004347889
1,False,16,128,0.001,0.4,0.7252641495811664
1,False,16,256,0.0001,0.2,0.7230379248852618
1,False,16,256,0.0001,0.4,0.7260989542419274
1,False,16,256,0.001,0.2,0.724492728821936
1,False,16,256,0.001,0.4,0.7264610502373068
1,False,16,512,0.0001,0.2,0.7245420888050296
1,False,16,512,0.0001,0.4,0.7228163048758822
1,False,16,512,0.001,0.2,0.7250171654866578
1,False,16,512,0.001,0.4,0.7257203084441144
1,False,32,128,0.0001,0.2,0.7241549970826039
1,False,32,128,0.0001,0.4,0.7251792693543756
1,False,32,128,0.001,0.2,0.7244010602819055
1,False,32,128,0.001,0.4,0.7250652099051698
1,False,32,256,0.0001,0.2,0.7247712075325229
1,False,32,256,0.0001,0.4,0.724220485887465
1,False,32,256,0.001,0.2,0.7230527118311565
1,False,32,256,0.001,0.4,0.7262568746142765
1,False,32,512,0.0001,0.2,0.7252023180458415
1,False,32,512,0.0001,0.4,0.7244913080121882
1,False,32,512,0.001,0.2,0.7233626062239467
1,False,32,512,0.001,0.4,0.7249107626233158
1,False,64,128,0.0001,0.2,0.72373656861185
1,False,64,128,0.0001,0.4,0.7241160826822868
1,False,64,128,0.001,0.2,0.7241827291839794
1,False,64,128,0.001,0.4,0.7260488049200853
1,False,64,256,0.0001,0.2,0.7250341625810492
1,False,64,256,0.0001,0.4,0.7238762026365178
1,False,64,256,0.001,0.2,0.724176046115906
1,False,64,256,0.001,0.4,0.7252479418255237
1,False,64,512,0.0001,0.2,0.7242307209799083
1,False,64,512,0.0001,0.4,0.7250888637563431
1,False,64,512,0.001,0.2,0.7246332837418108
1,False,64,512,0.001,0.4,0.7257912963089257
1,True,16,128,0.0001,0.2,0.7234722453761588
1,True,16,128,0.0001,0.4,0.7237961373760948
1,True,16,128,0.001,0.2,0.7234933470320443
1,True,16,128,0.001,0.4,0.7247762066779321
1,True,16,256,0.0001,0.2,0.7225362211765063
1,True,16,256,0.0001,0.4,0.7226004996619526
1,True,16,256,0.001,0.2,0.723844313351065
1,True,16,256,0.001,0.4,0.7251539315805382
1,True,16,512,0.0001,0.2,0.7210005889519517
1,True,16,512,0.0001,0.4,0.7230007470301919
1,True,16,512,0.001,0.2,0.7225970528827493
1,True,16,512,0.001,0.4,0.7238353148893284
1,True,32,128,0.0001,0.2,0.724043358272228
1,True,32,128,0.0001,0.4,0.7239288515310646
1,True,32,128,0.001,0.2,0.7254223856890147
1,True,32,128,0.001,0.4,0.7258720193516393
1,True,32,256,0.0001,0.2,0.7245559548557173
1,True,32,256,0.0001,0.4,0.7228738476706719
1,True,32,256,0.001,0.2,0.7250035625488864
1,True,32,256,0.001,0.4,0.7253261916068243
1,True,32,512,0.0001,0.2,0.7230145604582964
1,True,32,512,0.0001,0.4,0.7228450104950481
1,True,32,512,0.001,0.2,0.7231640349060329
1,True,32,512,0.001,0.4,0.7229401258142819
1,True,64,128,0.0001,0.2,0.7255636510137635
1,True,64,128,0.0001,0.4,0.7251081499331061
1,True,64,128,0.001,0.2,0.7224812568882961
1,True,64,128,0.001,0.4,0.7277687214311995
1,True,64,256,0.0001,0.2,0.7221587067642331
1,True,64,256,0.0001,0.4,0.7233882071107003
1,True,64,256,0.001,0.2,0.7236282713355107
1,True,64,256,0.001,0.4,0.7254487232919341
1,True,64,512,0.0001,0.2,0.7228210145970836
1,True,64,512,0.0001,0.4,0.7231635876140752
1,True,64,512,0.001,0.2,0.724411768977598
1,True,64,512,0.001,0.4,0.727092573858953
2,False,16,128,0.0001,0.2,0.7246022890402735
2,False,16,128,0.0001,0.4,0.7236971542969918
2,False,16,128,0.001,0.2,0.7250537908046035
2,False,16,128,0.001,0.4,0.7280072069785124
2,False,16,256,0.0001,0.2,0.7234639046967128
2,False,16,256,0.0001,0.4,0.7236504254430611
2,False,16,256,0.001,0.2,0.7239731071235822
2,False,16,256,0.001,0.4,0.7261066897616659
2,False,16,512,0.0001,0.2,0.7248266980465656
2,False,16,512,0.0001,0.4,0.7237150985978817
2,False,16,512,0.001,0.2,0.7240681171976496
2,False,16,512,0.001,0.4,0.7265696895604372
2,False,32,128,0.0001,0.2,0.7245009116336323
