num_layers,bidirectional,lstm_size,batch_size,learning_rate,dropout,auc_score
1,False,16,128,0.0001,0.2,0.7195686207347577
1,False,16,128,0.0001,0.4,0.7101105216503758
1,False,16,128,0.001,0.2,0.7135166167962683
1,False,16,128,0.001,0.4,0.7180487274897577
1,False,16,256,0.0001,0.2,0.7147161817519987
1,False,16,256,0.0001,0.4,0.7125397617497817
1,False,16,256,0.001,0.2,0.7159012190215072
1,False,16,256,0.001,0.4,0.7159146439460686
1,False,16,512,0.0001,0.2,0.7088169342765557
1,False,16,512,0.0001,0.4,0.7039131929035083
1,False,16,512,0.001,0.2,0.7212077560775593
1,False,16,512,0.001,0.4,0.7204919199214758
1,False,32,128,0.0001,0.2,0.7188936347062684
1,False,32,128,0.0001,0.4,0.7153883389570981
1,False,32,128,0.001,0.2,0.7148449651354709
1,False,32,128,0.001,0.4,0.7183138697498477
1,False,32,256,0.0001,0.2,0.7168128672915521
1,False,32,256,0.0001,0.4,0.713408833830503
1,False,32,256,0.001,0.2,0.7187073638779774
1,False,32,256,0.001,0.4,0.7189466631582865
1,False,32,512,0.0001,0.2,0.7109762374999568
1,False,32,512,0.0001,0.4,0.7131376024082015
1,False,32,512,0.001,0.2,0.7158659785945333
1,False,32,512,0.001,0.4,0.7171401477738981
1,False,64,128,0.0001,0.2,0.7202900186453024
1,False,64,128,0.0001,0.4,0.7109632440908276
1,False,64,128,0.001,0.2,0.7127596428356355
1,False,64,128,0.001,0.4,0.7163518649713416
1,False,64,256,0.0001,0.2,0.7165459510235738
1,False,64,256,0.0001,0.4,0.710384486003749
1,False,64,256,0.001,0.2,0.7128010683171397
1,False,64,256,0.001,0.4,0.7118246447860854
1,False,64,512,0.0001,0.2,0.7214343016795347
1,False,64,512,0.0001,0.4,0.7124339445765414
1,False,64,512,0.001,0.2,0.7163110627899064
1,False,64,512,0.001,0.4,0.7173262747637118
1,True,16,128,0.0001,0.2,0.7178836488638103
1,True,16,128,0.0001,0.4,0.715814820042722
1,True,16,128,0.001,0.2,0.7171813335246066
1,True,16,128,0.001,0.4,0.7181561268862499
1,True,16,256,0.0001,0.2,0.7176614184161582
1,True,16,256,0.0001,0.4,0.7147209763679135
1,True,16,256,0.001,0.2,0.7158624305787562
1,True,16,256,0.001,0.4,0.7179149097595748
1,True,16,512,0.0001,0.2,0.7121667885777674
1,True,16,512,0.0001,0.4,0.710229571963541
1,True,16,512,0.001,0.2,0.7202525247488484
1,True,16,512,0.001,0.4,0.7182684167909751
1,True,32,128,0.0001,0.2,0.720178591771442
1,True,32,128,0.0001,0.4,0.7137788343406503
1,True,32,128,0.001,0.2,0.7127932530931985
1,True,32,128,0.001,0.4,0.7125520839126827
1,True,32,256,0.0001,0.2,0.7138018005508822
1,True,32,256,0.0001,0.4,0.7121475142217897
1,True,32,256,0.001,0.2,0.714413593541614
1,True,32,256,0.001,0.4,0.712970030581978
1,True,32,512,0.0001,0.2,0.7115194674831067
1,True,32,512,0.0001,0.4,0.7090929123686132
1,True,32,512,0.001,0.2,0.7180692963920323
1,True,32,512,0.001,0.4,0.7122780236669912
1,True,64,128,0.0001,0.2,0.7197715288802731
1,True,64,128,0.0001,0.4,0.7106921565070035
1,True,64,128,0.001,0.2,0.7187607279531094
1,True,64,128,0.001,0.4,0.7145560415804434
1,True,64,256,0.0001,0.2,0.7173976665946835
1,True,64,256,0.0001,0.4,0.7125897695937733
1,True,64,256,0.001,0.2,0.7124521641170178
1,True,64,256,0.001,0.4,0.7152357263325292
1,True,64,512,0.0001,0.2,0.7147705526964728
1,True,64,512,0.0001,0.4,0.7097690011587627
1,True,64,512,0.001,0.2,0.7124644862799189
1,True,64,512,0.001,0.4,0.714433299413024
2,False,16,128,0.0001,0.2,0.7214032325684068
2,False,16,128,0.0001,0.4,0.7139352826579509
2,False,16,128,0.001,0.2,0.7199766904952685
2,False,16,128,0.001,0.4,0.7195390859007222
2,False,16,256,0.0001,0.2,0.7194059394167676
2,False,16,256,0.0001,0.4,0.7177627765965976
2,False,16,256,0.001,0.2,0.7185403194595049
2,False,16,256,0.001,0.4,0.7145585347807192
2,False,16,512,0.0001,0.2,0.7166344596333614
2,False,16,512,0.0001,0.4,0.7089799032715006
2,False,16,512,0.001,0.2,0.7210095466556403
2,False,16,512,0.001,0.4,0.71321254225495
2,False,32,128,0.0001,0.2,0.7202081266054772
2,False,32,128,0.0001,0.4,0.7135683507019894
2,False,32,128,0.001,0.2,0.7146980101576814
2,False,32,128,0.001,0.4,0.714547123594842
2,False,32,256,0.0001,0.2,0.7188115029356474
2,False,32,256,0.0001,0.4,0.714107649100089
2,False,32,256,0.001,0.2,0.7183643570554309
2,False,32,256,0.001,0.4,0.71630411059683
2,False,32,512,0.0001,0.2,0.7188315923763304
2,False,32,512,0.0001,0.4,0.7129346463165267
2,False,32,512,0.001,0.2,0.7125192407936662
2,False,32,512,0.001,0.4,0.7168677176976177
2,False,64,128,0.0001,0.2,0.7114181572488264
2,False,64,128,0.0001,0.4,0.7133644356871317
2,False,64,128,0.001,0.2,0.7142306309983042
2,False,64,128,0.001,0.4,0.7165664719796894
2,False,64,256,0.0001,0.2,0.7162621577075752
2,False,64,256,0.0001,0.4,0.7093132729160585
2,False,64,256,0.001,0.2,0.715865978594533
2,False,64,256,0.001,0.4,0.7113990746774854
2,False,64,512,0.0001,0.2,0.710818159013245
2,False,64,512,0.0001,0.4,0.7146354883661521
2,False,64,512,0.001,0.2,0.714497019858532
2,False,64,512,0.001,0.4,0.7136973738162573
2,True,16,128,0.0001,0.2,0.720796330085908
2,True,16,128,0.0001,0.4,0.7147008389810712
2,True,16,128,0.001,0.2,0.717187950094569
2,True,16,128,0.001,0.4,0.7172918494214433
2,True,16,256,0.0001,0.2,0.7169781856482954
2,True,16,256,0.0001,0.4,0.718372507902486
2,True,16,256,0.001,0.2,0.7141946234327838
2,True,16,256,0.001,0.4,0.7116814296087095
2,True,16,512,0.0001,0.2,0.7111368091869444
2,True,16,512,0.0001,0.4,0.710578859732936
2,True,16,512,0.001,0.2,0.7126668190715245
2,True,16,512,0.001,0.4,0.7179299169073883
2,True,32,128,0.0001,0.2,0.7128081643486937
2,True,32,128,0.0001,0.4,0.7140815184433531
2,True,32,128,0.001,0.2,0.7187243847644751
2,True,32,128,0.001,0.4,0.7193115813755637
2,True,32,256,0.0001,0.2,0.7140160239899566
2,True,32,256,0.0001,0.4,0.7166438091343954
2,True,32,256,0.001,0.2,0.718525791773283
2,True,32,256,0.001,0.4,0.7180213981790432
2,True,32,512,0.0001,0.2,0.7145781447598109
2,True,32,512,0.0001,0.4,0.7160133650877549
2,True,32,512,0.001,0.2,0.7155444037051258
2,True,32,512,0.001,0.4,0.7180590359139746
2,True,64,128,0.0001,0.2,0.7183063422028614
2,True,64,128,0.0001,0.4,0.7146896675259897
2,True,64,128,0.001,0.2,0.7121565760458689
2,True,64,128,0.001,0.4,0.7135882483580358
2,True,64,256,0.0001,0.2,0.7142298159135988
2,True,64,256,0.0001,0.4,0.7145717679206441
2,True,64,256,0.001,0.2,0.7169727677323116
2,True,64,256,0.001,0.4,0.7123779914088153
2,True,64,512,0.0001,0.2,0.7133039276342866
2,True,64,512,0.0001,0.4,0.7120409299100031
2,True,64,512,0.001,0.2,0.7118900912933227
2,True,64,512,0.001,0.4,0.7153384270054248
