num_layers,bidirectional,lstm_size,batch_size,learning_rate,dropout,auc_score
1,False,16,128,0.0001,0.2,0.6026963494910049
1,False,16,128,0.0001,0.4,0.60713542807957
1,False,16,128,0.001,0.2,0.599595343543702
1,False,16,128,0.001,0.4,0.6101038542762339
1,False,16,256,0.0001,0.2,0.6112789496200265
1,False,16,256,0.0001,0.4,0.6053146025833852
1,False,16,256,0.001,0.2,0.6104302235716761
1,False,16,256,0.001,0.4,0.6097373834422033
1,False,16,512,0.0001,0.2,0.6116586079300357
1,False,16,512,0.0001,0.4,0.6108537157247961
1,False,16,512,0.001,0.2,0.6094530647777113
1,False,16,512,0.001,0.4,0.6108161438592725
1,False,32,128,0.0001,0.2,0.6109298962070994
1,False,32,128,0.0001,0.4,0.6074270869429557
1,False,32,128,0.001,0.2,0.6170514562042264
1,False,32,128,0.001,0.4,0.6100154815991581
1,False,32,256,0.0001,0.2,0.6007386728290055
1,False,32,256,0.0001,0.4,0.594941864795361
1,False,32,256,0.001,0.2,0.611901829774733
1,False,32,256,0.001,0.4,0.6157315889150223
1,False,32,512,0.0001,0.2,0.6022002432799027
1,False,32,512,0.0001,0.4,0.6053941006697081
1,False,32,512,0.001,0.2,0.6209752694184755
1,False,32,512,0.001,0.4,0.600294238300511
1,False,64,128,0.0001,0.2,0.6062761271684067
1,False,64,128,0.0001,0.4,0.5982147226308866
1,False,64,128,0.001,0.2,0.6123324133064453
1,False,64,128,0.001,0.4,0.6134977631884299
1,False,64,256,0.0001,0.2,0.6104604967083562
1,False,64,256,0.0001,0.4,0.6098222311650081
1,False,64,256,0.001,0.2,0.6144789860473185
1,False,64,256,0.001,0.4,0.610623971646429
1,False,64,512,0.0001,0.2,0.5976079328556757
1,False,64,512,0.0001,0.4,0.6062133000422829
1,False,64,512,0.001,0.2,0.6064857997424544
1,False,64,512,0.001,0.4,0.6077760574157822
1,True,16,128,0.0001,0.2,0.5982675140048507
1,True,16,128,0.0001,0.4,0.5983050029302738
1,True,16,128,0.001,0.2,0.6052703955098219
1,True,16,128,0.001,0.4,0.615502135127007
1,True,16,256,0.0001,0.2,0.6107284761730508
1,True,16,256,0.0001,0.4,0.6054658023865848
1,True,16,256,0.001,0.2,0.6155057844914287
1,True,16,256,0.001,0.4,0.6027775063793378
1,True,16,512,0.0001,0.2,0.6012130487337783
1,True,16,512,0.0001,0.4,0.6066054408374163
1,True,16,512,0.001,0.2,0.6089550924143482
1,True,16,512,0.001,0.4,0.6063100911395588
1,True,32,128,0.0001,0.2,0.6062529454103188
1,True,32,128,0.0001,0.4,0.5921724118997812
1,True,32,128,0.001,0.2,0.6132761472399111
1,True,32,128,0.001,0.4,0.6049793586971901
1,True,32,256,0.0001,0.2,0.5971652815393418
1,True,32,256,0.0001,0.4,0.6139867365508895
1,True,32,256,0.001,0.2,0.6065903457391264
1,True,32,256,0.001,0.4,0.610704630894159
1,True,32,512,0.0001,0.2,0.6093021967349137
1,True,32,512,0.0001,0.4,0.6062139220930366
1,True,32,512,0.001,0.2,0.6106965027643106
1,True,32,512,0.001,0.4,0.6203861873547201
1,True,64,128,0.0001,0.2,0.6158088890886825
1,True,64,128,0.0001,0.4,0.6081035464025809
1,True,64,128,0.001,0.2,0.6139344842875786
1,True,64,128,0.001,0.4,0.6174695987208646
1,True,64,256,0.0001,0.2,0.610169045195222
1,True,64,256,0.0001,0.4,0.5974030708074567
1,True,64,256,0.001,0.2,0.6109845537333247
1,True,64,256,0.001,0.4,0.6140060201242543
1,True,64,512,0.0001,0.2,0.6152983927701446
1,True,64,512,0.0001,0.4,0.5985373181517563
1,True,64,512,0.001,0.2,0.6164491451944423
1,True,64,512,0.001,0.4,0.5969984060571487
2,False,16,128,0.0001,0.2,0.6100686047335243
2,False,16,128,0.0001,0.4,0.5968414004469145
2,False,16,128,0.001,0.2,0.6114814478753815
2,False,16,128,0.001,0.4,0.6188510905047353
2,False,16,256,0.0001,0.2,0.5970146623168455
2,False,16,256,0.0001,0.4,0.6049520299340775
2,False,16,256,0.001,0.2,0.6153500229827018
2,False,16,256,0.001,0.4,0.6142433532218166
2,False,16,512,0.0001,0.2,0.6140620046920873
2,False,16,512,0.0001,0.4,0.6166882615041652
2,False,16,512,0.001,0.2,0.6105372163013127
2,False,16,512,0.001,0.4,0.6122586795571064
2,False,32,128,0.0001,0.2,0.6103066013518904
2,False,32,128,0.0001,0.4,0.6068988829129626
2,False,32,128,0.001,0.2,0.6165603678692041
2,False,32,128,0.001,0.4,0.6127041093668072
2,False,32,256,0.0001,0.2,0.6033501663031955
2,False,32,256,0.0001,0.4,0.6044401236338314
2,False,32,256,0.001,0.2,0.6107578784386758
2,False,32,256,0.001,0.4,0.6103757319256519
2,False,32,512,0.0001,0.2,0.6011547418431314
2,False,32,512,0.0001,0.4,0.6035534110194549
2,False,32,512,0.001,0.2,0.6020834221483575
2,False,32,512,0.001,0.4,0.6038907698782126
2,False,64,128,0.0001,0.2,0.6024824055017818
2,False,64,128,0.0001,0.4,0.600553052884101
2,False,64,128,0.001,0.2,0.6068753279244223
2,False,64,128,0.001,0.4,0.6063376687229729
2,False,64,256,0.0001,0.2,0.6069823206540589
2,False,64,256,0.0001,0.4,0.5986232855659177
2,False,64,256,0.001,0.2,0.6174865599714154
2,False,64,256,0.001,0.4,0.6121499036153092
2,False,64,512,0.0001,0.2,0.6121620543400315
2,False,64,512,0.0001,0.4,0.6062721875136332
2,False,64,512,0.001,0.2,0.6063646657256836
2,False,64,512,0.001,0.4,0.5946901830604133
2,True,16,128,0.0001,0.2,0.6054541493024654
2,True,16,128,0.0001,0.4,0.6057386338471583
2,True,16,128,0.001,0.2,0.6044782346100082
2,True,16,128,0.001,0.4,0.6083464364868764
2,True,16,256,0.0001,0.2,0.6089457616530426
2,True,16,256,0.0001,0.4,0.6058544182274473
2,True,16,256,0.001,0.2,0.6016387802696117
2,True,16,256,0.001,0.4,0.6117172051110343
2,True,16,512,0.0001,0.2,0.6066822848405236
