num_layers,bidirectional,lstm_size,batch_size,learning_rate,dropout,auc_score
1,False,16,128,0.0001,0.2,0.6331503299359065
1,False,16,128,0.0001,0.4,0.6320292517369761
1,False,16,128,0.001,0.2,0.6283483303061341
1,False,16,128,0.001,0.4,0.6304929512724883
1,False,16,256,0.0001,0.2,0.6324608812468704
1,False,16,256,0.0001,0.4,0.6338717477021717
1,False,16,256,0.001,0.2,0.6291970920852205
1,False,16,256,0.001,0.4,0.6323706727145524
1,False,16,512,0.0001,0.2,0.6366006419115167
1,False,16,512,0.0001,0.4,0.6342033994808297
1,False,16,512,0.001,0.2,0.6310592516943925
1,False,16,512,0.001,0.4,0.6270280481215709
1,False,32,128,0.0001,0.2,0.6332233797470479
1,False,32,128,0.0001,0.4,0.6350663766968034
1,False,32,128,0.001,0.2,0.6215598642732632
1,False,32,128,0.001,0.4,0.6334827018798693
1,False,32,256,0.0001,0.2,0.6348443466021598
1,False,32,256,0.0001,0.4,0.6353193112764861
1,False,32,256,0.001,0.2,0.6296599705070389
1,False,32,256,0.001,0.4,0.6314599767192475
1,False,32,512,0.0001,0.2,0.6349319875886086
1,False,32,512,0.0001,0.4,0.6319165615225323
1,False,32,512,0.001,0.2,0.6282154441516189
1,False,32,512,0.001,0.4,0.6330071422863783
1,False,64,128,0.0001,0.2,0.633714845600316
1,False,64,128,0.0001,0.4,0.6347268344113268
1,False,64,128,0.001,0.2,0.6144683338931836
1,False,64,128,0.001,0.4,0.6314228099272094
1,False,64,256,0.0001,0.2,0.6337565525649282
1,False,64,256,0.0001,0.4,0.6351136258031096
1,False,64,256,0.001,0.2,0.628054690730959
1,False,64,256,0.001,0.4,0.6286520521955774
1,False,64,512,0.0001,0.2,0.6290404717871797
1,False,64,512,0.0001,0.4,0.6335572546446905
1,False,64,512,0.001,0.2,0.6285205750601369
1,False,64,512,0.001,0.4,0.63184833368778
1,True,16,128,0.0001,0.2,0.6338251561381005
1,True,16,128,0.0001,0.4,0.6356831826246531
1,True,16,128,0.001,0.2,0.6236316232976857
1,True,16,128,0.001,0.4,0.6347226073541026
1,True,16,256,0.0001,0.2,0.6289285330495757
1,True,16,256,0.0001,0.4,0.6303634780752875
1,True,16,256,0.001,0.2,0.6293877480217999
1,True,16,256,0.001,0.4,0.6336945557256397
1,True,16,512,0.0001,0.2,0.6354884248769895
1,True,16,512,0.0001,0.4,0.6344918413411957
1,True,16,512,0.001,0.2,0.6284929582862722
1,True,16,512,0.001,0.4,0.6323461870941869
1,True,32,128,0.0001,0.2,0.6348586246621172
1,True,32,128,0.0001,0.4,0.6293891570408745
1,True,32,128,0.001,0.2,0.6264115239975362
1,True,32,128,0.001,0.4,0.6290633918307955
1,True,32,256,0.0001,0.2,0.6334684238199121
1,True,32,256,0.0001,0.4,0.633297901200334
1,True,32,256,0.001,0.2,0.6275492912446186
1,True,32,256,0.001,0.4,0.6306148783897554
1,True,32,512,0.0001,0.2,0.6338842410046344
1,True,32,512,0.0001,0.4,0.635041985011043
1,True,32,512,0.001,0.2,0.6292389556075078
1,True,32,512,0.001,0.4,0.6316224835858671
1,True,64,128,0.0001,0.2,0.6340392017913205
1,True,64,128,0.0001,0.4,0.6340257065197381
1,True,64,128,0.001,0.2,0.6241414063989256
1,True,64,128,0.001,0.4,0.6331120985516787
1,True,64,256,0.0001,0.2,0.6331661109495436
1,True,64,256,0.0001,0.4,0.6345361784747475
1,True,64,256,0.001,0.2,0.6327336986512745
1,True,64,256,0.001,0.4,0.629108856179607
1,True,64,512,0.0001,0.2,0.6329431101973152
1,True,64,512,0.0001,0.4,0.6337188221652603
1,True,64,512,0.001,0.2,0.6309768084227527
1,True,64,512,0.001,0.4,0.6278895223838649
2,False,16,128,0.0001,0.2,0.633731315467723
2,False,16,128,0.0001,0.4,0.6343786188306569
2,False,16,128,0.001,0.2,0.6283048385840273
2,False,16,128,0.001,0.4,0.6288715147443514
2,False,16,256,0.0001,0.2,0.6324318867654659
2,False,16,256,0.0001,0.4,0.6337175697038604
2,False,16,256,0.001,0.2,0.6276465135607754
2,False,16,256,0.001,0.4,0.6319116456115381
2,False,16,512,0.0001,0.2,0.6310755650041242
2,False,16,512,0.0001,0.4,0.6327224264986765
2,False,16,512,0.001,0.2,0.6278461872194331
2,False,16,512,0.001,0.4,0.6340018158185373
2,False,32,128,0.0001,0.2,0.6331524278087511
2,False,32,128,0.0001,0.4,0.6370190579536434
2,False,32,128,0.001,0.2,0.624052419016472
2,False,32,128,0.001,0.4,0.6322143968433964
2,False,32,256,0.0001,0.2,0.6322940533884216
2,False,32,256,0.0001,0.4,0.6325172733213948
2,False,32,256,0.001,0.2,0.6271827897275121
2,False,32,256,0.001,0.4,0.6315179969935916
2,False,32,512,0.0001,0.2,0.6317497023525485
2,False,32,512,0.0001,0.4,0.6330665402682621
2,False,32,512,0.001,0.2,0.6264097392400415
2,False,32,512,0.001,0.4,0.6298749868178438
2,False,64,128,0.0001,0.2,0.6315448622906167
2,False,64,128,0.0001,0.4,0.6334844866373641
2,False,64,128,0.001,0.2,0.6208446461909267
2,False,64,128,0.001,0.4,0.6295128062925666
2,False,64,256,0.0001,0.2,0.6340863256514866
2,False,64,256,0.0001,0.4,0.6330416475979419
2,False,64,256,0.001,0.2,0.6290459199942688
2,False,64,256,0.001,0.4,0.6310377093583165
2,False,64,512,0.0001,0.2,0.6365673577498179
2,False,64,512,0.0001,0.4,0.6361249570718854
2,False,64,512,0.001,0.2,0.6262956086949878
2,False,64,512,0.001,0.4,0.6313055169171213
2,True,16,128,0.0001,0.2,0.6315294257038646
2,True,16,128,0.0001,0.4,0.6350412335342032
2,True,16,128,0.001,0.2,0.6303807933541392
2,True,16,128,0.001,0.4,0.6338193321925916
2,True,16,256,0.0001,0.2,0.631612463894669
2,True,16,256,0.0001,0.4,0.6311513702303452
2,True,16,256,0.001,0.2,0.6290348983339509
2,True,16,256,0.001,0.4,0.6298691002492649
2,True,16,512,0.0001,0.2,0.6331363963028341
2,True,16,512,0.0001,0.4,0.6301615812976452
2,True,16,512,0.001,0.2,0.6317433461109446
2,True,16,512,0.001,0.4,0.6318031198312483
2,True,32,128,0.0001,0.2,0.6315612069118836
2,True,32,128,0.0001,0.4,0.6328229052144727
2,True,32,128,0.001,0.2,0.6260525685603633
2,True,32,128,0.001,0.4,0.6297538738004864
2,True,32,256,0.0001,0.2,0.6323739291141917
2,True,32,256,0.0001,0.4,0.6327315068438248
2,True,32,256,0.001,0.2,0.6282842982170711
2,True,32,256,0.001,0.4,0.6314076551442723
2,True,32,512,0.0001,0.2,0.6287166165807353
2,True,32,512,0.0001,0.4,0.6330329429912135
2,True,32,512,0.001,0.2,0.6316589615241353
2,True,32,512,0.001,0.4,0.6332569770240967
2,True,64,128,0.0001,0.2,0.6305331865949557
2,True,64,128,0.0001,0.4,0.6343828458878811
2,True,64,128,0.001,0.2,0.6253622744598824
2,True,64,128,0.001,0.4,0.6302328776628269
2,True,64,256,0.0001,0.2,0.6325822447565077
2,True,64,256,0.0001,0.4,0.6352896592528465
2,True,64,256,0.001,0.2,0.6286700563281991
2,True,64,256,0.001,0.4,0.6294317094169317
2,True,64,512,0.0001,0.2,0.6333746770841396
2,True,64,512,0.0001,0.4,0.6336648723904653
2,True,64,512,0.001,0.2,0.6279419692049801
2,True,64,512,0.001,0.4,0.6310744691003995
